package,in_degree,betweenness,eigenvector,kcore,predicted_risk
urllib3,12,0.0072723258572344575,0.05821641558964892,9,0.07402571993329861
jsonschema,13,0.004915382689715009,0.05108448566614406,10,0.07376500626475
vllm,1,0.03644331045418968,0.12338599700745911,10,0.07205244221798336
ray,3,0.0248387137538996,0.11073282418893375,10,0.06984407541586618
certifi,13,0.004104067898788817,0.0388331533652128,9,0.06796794655250675
jupyterlab,3,0.028955754103520286,0.10245014040236229,10,0.06755783183427626
sglang,0,0.04095263617743423,0.11690726654825548,10,0.06694169260881695
ipython,12,0.0021634709490536545,0.03885431963413434,9,0.06352467753545377
snowflake-connector-python,4,0.013616980288359948,0.09681306018593092,10,0.0634261598072364
pytest-mock,11,0.002736302649806151,0.04571518919970968,9,0.06303897502956567
litellm,3,0.022244569816787105,0.09629728490657218,10,0.062440132360814096
dagster,0,0.03516700860037683,0.10824755886335048,10,0.06101985449863961
deepspeed,3,0.024260945382405787,0.09121630315363055,10,0.06085942201995691
openai,10,0.0029360436211498453,0.04876897350173383,8,0.06070950239978645
pyopenssl,12,0.004219565370297488,0.029788009808127843,8,0.06016447116118618
red-discordbot,0,0.04121651189956914,0.10155549644449022,10,0.060125752564869794
virtualenv,6,0.013011061274339382,0.07200537007213312,10,0.05959779741244096
orjson,11,0.004974336283351232,0.036103061779905,9,0.05949682946239434
python-dotenv,11,0.00163807926159036,0.0362538199543106,8,0.05839698068326055
wheel,12,0.0011692978398766003,0.02805407710412106,9,0.05831660780873582
prefect,0,0.05404026121121169,0.08416825717398008,10,0.05678980715221513
pytorch-lightning,1,0.007143732624304878,0.11219766819070742,10,0.05676284200998543
python-multipart,10,0.0011832050570308576,0.03977223140936906,9,0.056047474960780656
mcp,7,0.004265964881944741,0.06170966055779121,10,0.055677529299309345
unstructured,2,0.029383948466765925,0.08409754500097011,10,0.05567544702512538
lightning,0,0.008883038740176619,0.11595862438458852,10,0.055290444532126656
flask,10,0.00602426244179886,0.03322142244764303,8,0.05479398101267274
filelock,9,0.001476903288501231,0.04446063655680446,9,0.05448646675248083
tiktoken,9,0.0015797621732237103,0.043052427479179464,9,0.053888773277202456
platformdirs,10,0.002250173421770081,0.03406898101291621,8,0.0538544512100356
crawl4ai,1,0.018014383397509732,0.09664724042298252,10,0.05356987728513092
pypdf,6,0.009229106732441428,0.060879059775271686,10,0.05326727368918903
mlflow,2,0.02831858430307839,0.07900662860456835,10,0.05301165718945394
nltk,6,0.007338493189890818,0.06163500142796664,10,0.05294573269300904
pytest-asyncio,8,0.0018800305775460834,0.04652013635857554,8,0.051780751308783145
sphinx-rtd-theme,10,0.002329311600747546,0.028160375635919114,8,0.051223277153029025
cloudpickle,8,0.013585493065933457,0.035857616178198375,7,0.051079529098549
twine,10,0.0016573707276003066,0.02481550886081936,7,0.0494829077986326
kedro,1,0.030503153925194634,0.07728977305093783,10,0.04923008665240052
python-dateutil,9,0.003487788848862721,0.030372668601269942,7,0.04885069111861682
pytest-rerunfailures,8,0.0009265761801352093,0.040473005520168574,8,0.0487258333924062
attrs,9,0.0034781305074750683,0.029524040200193984,8,0.04846542791864696
beautifulsoup4,9,0.002522170894466054,0.030227383919522958,8,0.04844734672779184
starlette,7,0.0010916324408994245,0.04731992495297356,9,0.048091131922775546
dash,0,0.023688599870805772,0.08689182265088621,10,0.047392330147680815
ydata-profiling,0,0.027986871662180182,0.08352509220855528,10,0.04738169657561294
astropy,1,0.03109825516635403,0.07207371560561958,10,0.0470911462364131
torchvision,7,0.00047246837507462276,0.04539169621424706,7,0.047006721567309936
typing_extensions,9,0.0017027286895211918,0.027598044690441286,8,0.04697733930297439
aws-sam-cli,0,0.027998233121099895,0.08169444299211201,10,0.04656188093883537
browser-use,0,0.025891279420730492,0.08157864663367886,10,0.04577233878241116
brotli,9,0.0023334588384390075,0.024289303612220658,7,0.04570916136989635
flake8,9,0.0010622214403971024,0.024831316619387703,8,0.045508134133806846
tox,9,0.002147627043934445,0.021451449658923656,6,0.044367085962836096
sentencepiece,7,0.0005721878704007018,0.037626585802464405,7,0.04354732370537187
llama-index-core,2,0.016484286292331566,0.06665360750522738,10,0.04331079339098912
pymongo,4,0.014011493520644723,0.051491964494139564,9,0.043169746377229964
gitpython,4,0.00629793063096849,0.05746480878594071,10,0.043157779297153795
authlib,7,0.014311338751854249,0.025254091188465232,7,0.04278840393758099
gradio,1,0.00997344829867224,0.07838198262166877,10,0.04253618398994661
